Participant,Practice,Block,Trial,TargetChange,Count number
0,false,1,0,W1,16
0,false,1,1,W1,16
0,false,1,2,W1,4
0,false,1,3,W1,9
0,false,1,4,W1,25
0,false,1,5,W1,25
0,false,1,6,W1,4
0,false,1,7,W1,16
0,false,1,8,W1,4
0,false,1,9,W1,25
0,false,1,10,W1,16
0,false,1,11,W1,25
0,false,1,12,W1,4
0,false,1,13,W1,25
0,false,1,14,W1,16
0,false,1,15,W1,4
0,false,1,16,W1,9
0,false,1,17,W1,9
0,false,1,18,W1,9
0,false,1,19,W1,9
0,false,2,0,W1&W2,16
0,false,2,1,W1&W2,25
0,false,2,2,W1&W2,16
0,false,2,3,W1&W2,9
0,false,2,4,W1&W2,4
0,false,2,5,W1&W2,9
0,false,2,6,W1&W2,4
0,false,2,7,W1&W2,9
0,false,2,8,W1&W2,16
0,false,2,9,W1&W2,16
0,false,2,10,W1&W2,9
0,false,2,11,W1&W2,4
0,false,2,12,W1&W2,4
0,false,2,13,W1&W2,9
0,false,2,14,W1&W2,16
0,false,2,15,W1&W2,25
0,false,2,16,W1&W2,4
0,false,2,17,W1&W2,25
0,false,2,18,W1&W2,25
0,false,2,19,W1&W2,25
0,false,3,0,W2,4
0,false,3,1,W2,16
0,false,3,2,W2,25
0,false,3,3,W2,16
0,false,3,4,W2,9
0,false,3,5,W2,4
0,false,3,6,W2,16
0,false,3,7,W2,16
0,false,3,8,W2,4
0,false,3,9,W2,9
0,false,3,10,W2,9
0,false,3,11,W2,4
0,false,3,12,W2,25
0,false,3,13,W2,25
0,false,3,14,W2,4
0,false,3,15,W2,9
0,false,3,16,W2,9
0,false,3,17,W2,16
0,false,3,18,W2,25
0,false,3,19,W2,25
1,false,1,0,W1&W2,16
1,false,1,1,W1&W2,4
1,false,1,2,W1&W2,25
1,false,1,3,W1&W2,16
1,false,1,4,W1&W2,4
1,false,1,5,W1&W2,9
1,false,1,6,W1&W2,16
1,false,1,7,W1&W2,25
1,false,1,8,W1&W2,25
1,false,1,9,W1&W2,9
1,false,1,10,W1&W2,16
1,false,1,11,W1&W2,25
1,false,1,12,W1&W2,9
1,false,1,13,W1&W2,16
1,false,1,14,W1&W2,4
1,false,1,15,W1&W2,4
1,false,1,16,W1&W2,9
1,false,1,17,W1&W2,4
1,false,1,18,W1&W2,25
1,false,1,19,W1&W2,9
1,false,2,0,W2,16
1,false,2,1,W2,9
1,false,2,2,W2,25
1,false,2,3,W2,25
1,false,2,4,W2,25
1,false,2,5,W2,16
1,false,2,6,W2,25
1,false,2,7,W2,4
1,false,2,8,W2,9
1,false,2,9,W2,25
1,false,2,10,W2,16
1,false,2,11,W2,9
1,false,2,12,W2,9
1,false,2,13,W2,16
1,false,2,14,W2,16
1,false,2,15,W2,4
1,false,2,16,W2,9
1,false,2,17,W2,4
1,false,2,18,W2,4
1,false,2,19,W2,4
1,false,3,0,W1,4
1,false,3,1,W1,4
1,false,3,2,W1,25
1,false,3,3,W1,25
1,false,3,4,W1,4
1,false,3,5,W1,16
1,false,3,6,W1,4
1,false,3,7,W1,9
1,false,3,8,W1,9
1,false,3,9,W1,25
1,false,3,10,W1,25
1,false,3,11,W1,9
1,false,3,12,W1,9
1,false,3,13,W1,9
1,false,3,14,W1,16
1,false,3,15,W1,16
1,false,3,16,W1,4
1,false,3,17,W1,16
1,false,3,18,W1,16
1,false,3,19,W1,25
2,false,1,0,W2,16
2,false,1,1,W2,9
2,false,1,2,W2,25
2,false,1,3,W2,9
2,false,1,4,W2,4
2,false,1,5,W2,4
2,false,1,6,W2,25
2,false,1,7,W2,4
2,false,1,8,W2,4
2,false,1,9,W2,16
2,false,1,10,W2,16
2,false,1,11,W2,16
2,false,1,12,W2,9
2,false,1,13,W2,25
2,false,1,14,W2,25
2,false,1,15,W2,25
2,false,1,16,W2,9
2,false,1,17,W2,4
2,false,1,18,W2,16
2,false,1,19,W2,9
2,false,2,0,W1,25
2,false,2,1,W1,4
2,false,2,2,W1,16
2,false,2,3,W1,9
2,false,2,4,W1,9
2,false,2,5,W1,25
2,false,2,6,W1,9
2,false,2,7,W1,25
2,false,2,8,W1,25
2,false,2,9,W1,16
2,false,2,10,W1,9
2,false,2,11,W1,16
2,false,2,12,W1,4
2,false,2,13,W1,9
2,false,2,14,W1,4
2,false,2,15,W1,16
2,false,2,16,W1,4
2,false,2,17,W1,25
2,false,2,18,W1,16
2,false,2,19,W1,4
2,false,3,0,W1&W2,4
2,false,3,1,W1&W2,4
2,false,3,2,W1&W2,9
2,false,3,3,W1&W2,4
2,false,3,4,W1&W2,25
2,false,3,5,W1&W2,16
2,false,3,6,W1&W2,4
2,false,3,7,W1&W2,4
2,false,3,8,W1&W2,16
2,false,3,9,W1&W2,25
2,false,3,10,W1&W2,16
2,false,3,11,W1&W2,16
2,false,3,12,W1&W2,25
2,false,3,13,W1&W2,9
2,false,3,14,W1&W2,9
2,false,3,15,W1&W2,9
2,false,3,16,W1&W2,9
2,false,3,17,W1&W2,16
2,false,3,18,W1&W2,25
2,false,3,19,W1&W2,25
3,false,1,0,W1,4
3,false,1,1,W1,4
3,false,1,2,W1,4
3,false,1,3,W1,9
3,false,1,4,W1,16
3,false,1,5,W1,16
3,false,1,6,W1,4
3,false,1,7,W1,25
3,false,1,8,W1,4
3,false,1,9,W1,25
3,false,1,10,W1,25
3,false,1,11,W1,16
3,false,1,12,W1,9
3,false,1,13,W1,9
3,false,1,14,W1,16
3,false,1,15,W1,9
3,false,1,16,W1,25
3,false,1,17,W1,9
3,false,1,18,W1,16
3,false,1,19,W1,25
3,false,2,0,W1&W2,25
3,false,2,1,W1&W2,25
3,false,2,2,W1&W2,4
3,false,2,3,W1&W2,16
3,false,2,4,W1&W2,9
3,false,2,5,W1&W2,4
3,false,2,6,W1&W2,16
3,false,2,7,W1&W2,4
3,false,2,8,W1&W2,9
3,false,2,9,W1&W2,4
3,false,2,10,W1&W2,16
3,false,2,11,W1&W2,9
3,false,2,12,W1&W2,25
3,false,2,13,W1&W2,9
3,false,2,14,W1&W2,9
3,false,2,15,W1&W2,25
3,false,2,16,W1&W2,16
3,false,2,17,W1&W2,16
3,false,2,18,W1&W2,25
3,false,2,19,W1&W2,4
3,false,3,0,W2,4
3,false,3,1,W2,25
3,false,3,2,W2,16
3,false,3,3,W2,16
3,false,3,4,W2,9
3,false,3,5,W2,25
3,false,3,6,W2,4
3,false,3,7,W2,4
3,false,3,8,W2,4
3,false,3,9,W2,25
3,false,3,10,W2,25
3,false,3,11,W2,9
3,false,3,12,W2,4
3,false,3,13,W2,16
3,false,3,14,W2,9
3,false,3,15,W2,9
3,false,3,16,W2,16
3,false,3,17,W2,9
3,false,3,18,W2,25
3,false,3,19,W2,16
4,false,1,0,W1&W2,25
4,false,1,1,W1&W2,9
4,false,1,2,W1&W2,4
4,false,1,3,W1&W2,16
4,false,1,4,W1&W2,16
4,false,1,5,W1&W2,4
4,false,1,6,W1&W2,25
4,false,1,7,W1&W2,9
4,false,1,8,W1&W2,4
4,false,1,9,W1&W2,4
4,false,1,10,W1&W2,4
4,false,1,11,W1&W2,16
4,false,1,12,W1&W2,25
4,false,1,13,W1&W2,9
4,false,1,14,W1&W2,25
4,false,1,15,W1&W2,16
4,false,1,16,W1&W2,9
4,false,1,17,W1&W2,25
4,false,1,18,W1&W2,16
4,false,1,19,W1&W2,9
4,false,2,0,W2,9
4,false,2,1,W2,16
4,false,2,2,W2,25
4,false,2,3,W2,25
4,false,2,4,W2,4
4,false,2,5,W2,16
4,false,2,6,W2,4
4,false,2,7,W2,4
4,false,2,8,W2,9
4,false,2,9,W2,16
4,false,2,10,W2,25
4,false,2,11,W2,16
4,false,2,12,W2,4
4,false,2,13,W2,9
4,false,2,14,W2,9
4,false,2,15,W2,9
4,false,2,16,W2,16
4,false,2,17,W2,25
4,false,2,18,W2,25
4,false,2,19,W2,4
